"","ppt","age","sex","condition","version","type_quest","type_resp","resp","conf","type","cond_rc","cond_rc2","type_rc","type_rc2"
"60",5,17,"F","Contrôle","A","neutral_4","matraque",1,5,"neutral",0,2,1,-1
"61",6,19,"F","Contrôle","A","leading_1","2",0,4,"leading",0,2,1,1
"62",6,19,"F","Contrôle","A","leading_2","Front",1,1,"leading",0,2,1,1
"63",6,19,"F","Contrôle","A","leading_3","Quasiment pleine",1,1,"leading",0,2,1,1
"64",6,19,"F","Contrôle","A","leading_4","Tête",1,5,"leading",0,2,1,1
"65",6,19,"F","Contrôle","A","misleading_1","Police",1,4,"misleading",0,2,-2,0
"66",6,19,"F","Contrôle","A","misleading_2","2ème étage",0,2,"misleading",0,2,-2,0
"67",6,19,"F","Contrôle","A","misleading_3","""députés tous pourris""",1,5,"misleading",0,2,-2,0
"68",6,19,"F","Contrôle","A","misleading_4","bleue",1,3,"misleading",0,2,-2,0
"69",6,19,"F","Contrôle","A","neutral_1","Homme",1,5,"neutral",0,2,1,-1
"70",6,19,"F","Contrôle","A","neutral_2","menaces d'attentat",0,2,"neutral",0,2,1,-1
"71",6,19,"F","Contrôle","A","neutral_3","salle",1,4,"neutral",0,2,1,-1
"72",6,19,"F","Contrôle","A","neutral_4","matraque",1,5,"neutral",0,2,1,-1
"73",7,21,"F","Contrôle","A","leading_1","2",0,2,"leading",0,2,1,1
"74",7,21,"F","Contrôle","A","leading_2","Front",1,3,"leading",0,2,1,1
"75",7,21,"F","Contrôle","A","leading_3","Quasiment pleine",1,2,"leading",0,2,1,1
"76",7,21,"F","Contrôle","A","leading_4","Tête",1,3,"leading",0,2,1,1
"77",7,21,"F","Contrôle","A","misleading_1","Police",1,4,"misleading",0,2,-2,0
"78",7,21,"F","Contrôle","A","misleading_2","1er étage",1,3,"misleading",0,2,-2,0
"79",7,21,"F","Contrôle","A","misleading_3","""députés tous pourris""",1,2,"misleading",0,2,-2,0
"80",7,21,"F","Contrôle","A","misleading_4","bleue",1,4,"misleading",0,2,-2,0
"81",7,21,"F","Contrôle","A","neutral_1","Homme",1,3,"neutral",0,2,1,-1
"82",7,21,"F","Contrôle","A","neutral_2","menaces d'assassinat",1,3,"neutral",0,2,1,-1
"83",7,21,"F","Contrôle","A","neutral_3","salle",1,4,"neutral",0,2,1,-1
"84",7,21,"F","Contrôle","A","neutral_4","matraque",1,5,"neutral",0,2,1,-1
"85",8,20,"F","Contrôle","A","leading_1","3",1,4,"leading",0,2,1,1
"86",8,20,"F","Contrôle","A","leading_2","Front",1,4,"leading",0,2,1,1
"87",8,20,"F","Contrôle","A","leading_3","Quasiment pleine",1,2,"leading",0,2,1,1
"88",8,20,"F","Contrôle","A","leading_4","Tête",1,4,"leading",0,2,1,1
"89",8,20,"F","Contrôle","A","misleading_1","Journalistes",0,5,"misleading",0,2,-2,0
"90",8,20,"F","Contrôle","A","misleading_2","2ème étage",0,3,"misleading",0,2,-2,0
"91",8,20,"F","Contrôle","A","misleading_3","""députés tous pourris""",1,4,"misleading",0,2,-2,0
"92",8,20,"F","Contrôle","A","misleading_4","bleue",1,4,"misleading",0,2,-2,0
"93",8,20,"F","Contrôle","A","neutral_1","Femme",0,3,"neutral",0,2,1,-1
"94",8,20,"F","Contrôle","A","neutral_2","menaces d'assassinat",1,1,"neutral",0,2,1,-1
"95",8,20,"F","Contrôle","A","neutral_3","salle",1,5,"neutral",0,2,1,-1
"96",8,20,"F","Contrôle","A","neutral_4","matraque",1,5,"neutral",0,2,1,-1
"97",9,21,"M","Contrôle","A","leading_1","3",1,4,"leading",0,2,1,1
"98",9,21,"M","Contrôle","A","leading_2","Front",1,4,"leading",0,2,1,1
"99",9,21,"M","Contrôle","A","leading_3","Quasiment vide",0,3,"leading",0,2,1,1
"100",9,21,"M","Contrôle","A","leading_4","Tête",1,5,"leading",0,2,1,1
"101",9,21,"M","Contrôle","A","misleading_1","Police",1,4,"misleading",0,2,-2,0
"102",9,21,"M","Contrôle","A","misleading_2","1er étage",1,2,"misleading",0,2,-2,0
"103",9,21,"M","Contrôle","A","misleading_3","""députés tous pourris""",1,4,"misleading",0,2,-2,0
"104",9,21,"M","Contrôle","A","misleading_4","blanche",0,4,"misleading",0,2,-2,0
"105",9,21,"M","Contrôle","A","neutral_1","Homme",1,5,"neutral",0,2,1,-1
"106",9,21,"M","Contrôle","A","neutral_2","menaces d'assassinat",1,5,"neutral",0,2,1,-1
"107",9,21,"M","Contrôle","A","neutral_3","salle",1,5,"neutral",0,2,1,-1
"108",9,21,"M","Contrôle","A","neutral_4","matraque",1,5,"neutral",0,2,1,-1
"109",10,18,"F","Contrôle","A","leading_1","3",1,5,"leading",0,2,1,1
"110",10,18,"F","Contrôle","A","leading_2","Front",1,3,"leading",0,2,1,1
