"","ppt","sex","age","condition","item_type","item","resp","item_type_rc_1","item_type_rc_2","cond_rc"
"80","C2","F",23,"Control","Studied","Couverture",2,1,-1,0.5
"81","C2","F",23,"Control","Studied","Croix",4,1,-1,0.5
"82","C2","F",23,"Control","Lure","Eglise",4,0,2,0.5
"83","C2","F",23,"Control","Lure","Fauteuil",4,0,2,0.5
"84","C2","F",23,"Control","Studied","Fenêtre",4,1,-1,0.5
"85","C2","F",23,"Control","Unstudied","Feu",2,-1,-1,0.5
"86","C2","F",23,"Control","Unstudied","Flamme",2,-1,-1,0.5
"87","C2","F",23,"Control","Unstudied","Forêt",2,-1,-1,0.5
"88","C2","F",23,"Control","Unstudied","Fumée",2,-1,-1,0.5
"89","C2","F",23,"Control","Unstudied","Fusil",2,-1,-1,0.5
"90","C2","F",23,"Control","Unstudied","Gare",2,-1,-1,0.5
"91","C2","F",23,"Control","Unstudied","Incendie",4,-1,-1,0.5
"92","C2","F",23,"Control","Studied","Ivresse",4,1,-1,0.5
"93","C2","F",23,"Control","Lure","Laine",4,0,2,0.5
"94","C2","F",23,"Control","Unstudied","Lavande",2,-1,-1,0.5
"95","C2","F",23,"Control","Studied","Luge",2,1,-1,0.5
"96","C2","F",23,"Control","Unstudied","Métal",2,-1,-1,0.5
"97","C2","F",23,"Control","Unstudied","Métro",2,-1,-1,0.5
"98","C2","F",23,"Control","Studied","Miel",4,1,-1,0.5
"99","C2","F",23,"Control","Studied","Moteur",2,1,-1,0.5
"100","C2","F",23,"Control","Unstudied","Mousse",2,-1,-1,0.5
"101","C2","F",23,"Control","Studied","Mouton",4,1,-1,0.5
"102","C2","F",23,"Control","Lure","Neige",2,0,2,0.5
"103","C2","F",23,"Control","Studied","Nid",3,1,-1,0.5
"104","C2","F",23,"Control","Unstudied","Or",1,-1,-1,0.5
"105","C2","F",23,"Control","Studied","Pantoufle",3,1,-1,0.5
"106","C2","F",23,"Control","Studied","Pied",4,1,-1,0.5
"107","C2","F",23,"Control","Lure","Porte",3,0,2,0.5
"108","C2","F",23,"Control","Studied","Prêtre",4,1,-1,0.5
"109","C2","F",23,"Control","Studied","Reine",4,1,-1,0.5
"110","C2","F",23,"Control","Unstudied","Salaire",3,-1,-1,0.5
"111","C2","F",23,"Control","Unstudied","Savon",1,-1,-1,0.5
"112","C2","F",23,"Control","Studied","Semelle",4,1,-1,0.5
"113","C2","F",23,"Control","Studied","Seuil",4,1,-1,0.5
"114","C2","F",23,"Control","Studied","Ski",4,1,-1,0.5
"115","C2","F",23,"Control","Unstudied","Soldat",1,-1,-1,0.5
"116","C2","F",23,"Control","Unstudied","Train",2,-1,-1,0.5
"117","C2","F",23,"Control","Studied","Tricot",4,1,-1,0.5
"118","C2","F",23,"Control","Lure","Vin",4,0,2,0.5
"119","C2","F",23,"Control","Lure","Voiture",4,0,2,0.5
"120","C2","F",23,"Control","Unstudied","Wagon",1,-1,-1,0.5
"121","C3","H",26,"Control","Lure","Abeille",1,0,2,0.5
"122","C3","H",26,"Control","Studied","Accident",4,1,-1,0.5
"123","C3","H",26,"Control","Studied","Alcool",4,1,-1,0.5
"124","C3","H",26,"Control","Studied","Amende",4,1,-1,0.5
"125","C3","H",26,"Control","Unstudied","Arbre",1,-1,-1,0.5
"126","C3","H",26,"Control","Unstudied","Argent",1,-1,-1,0.5
"127","C3","H",26,"Control","Unstudied","Armée",1,-1,-1,0.5
"128","C3","H",26,"Control","Unstudied","Bain",1,-1,-1,0.5
"129","C3","H",26,"Control","Studied","Barrique",4,1,-1,0.5
"130","C3","H",26,"Control","Unstudied","Bois",1,-1,-1,0.5
"131","C3","H",26,"Control","Studied","Botte",4,1,-1,0.5
"132","C3","H",26,"Control","Studied","Bureau",4,1,-1,0.5
"133","C3","H",26,"Control","Unstudied","Canon",1,-1,-1,0.5
"134","C3","H",26,"Control","Studied","Chaise",4,1,-1,0.5
"135","C3","H",26,"Control","Studied","Chalet",4,1,-1,0.5
"136","C3","H",26,"Control","Lure","Chaussure",4,0,2,0.5
"137","C3","H",26,"Control","Unstudied","Chêne",1,-1,-1,0.5
"138","C3","H",26,"Control","Studied","Clé",4,1,-1,0.5
"139","C3","H",26,"Control","Studied","Clocher",4,1,-1,0.5
"140","C3","H",26,"Control","Studied","Couverture",4,1,-1,0.5
"141","C3","H",26,"Control","Studied","Croix",4,1,-1,0.5
"142","C3","H",26,"Control","Lure","Eglise",1,0,2,0.5
"143","C3","H",26,"Control","Lure","Fauteuil",4,0,2,0.5
"144","C3","H",26,"Control","Studied","Fenêtre",4,1,-1,0.5
"145","C3","H",26,"Control","Unstudied","Feu",1,-1,-1,0.5
"146","C3","H",26,"Control","Unstudied","Flamme",1,-1,-1,0.5
"147","C3","H",26,"Control","Unstudied","Forêt",1,-1,-1,0.5
"148","C3","H",26,"Control","Unstudied","Fumée",3,-1,-1,0.5
"149","C3","H",26,"Control","Unstudied","Fusil",1,-1,-1,0.5
"150","C3","H",26,"Control","Unstudied","Gare",1,-1,-1,0.5
"151","C3","H",26,"Control","Unstudied","Incendie",1,-1,-1,0.5
"152","C3","H",26,"Control","Studied","Ivresse",4,1,-1,0.5
"153","C3","H",26,"Control","Lure","Laine",4,0,2,0.5
"154","C3","H",26,"Control","Unstudied","Lavande",1,-1,-1,0.5
"155","C3","H",26,"Control","Studied","Luge",4,1,-1,0.5
"156","C3","H",26,"Control","Unstudied","Métal",1,-1,-1,0.5
"157","C3","H",26,"Control","Unstudied","Métro",1,-1,-1,0.5
"158","C3","H",26,"Control","Studied","Miel",4,1,-1,0.5
"159","C3","H",26,"Control","Studied","Moteur",4,1,-1,0.5
"160","C3","H",26,"Control","Unstudied","Mousse",1,-1,-1,0.5
"161","C3","H",26,"Control","Studied","Mouton",4,1,-1,0.5
"162","C3","H",26,"Control","Lure","Neige",4,0,2,0.5
"163","C3","H",26,"Control","Studied","Nid",1,1,-1,0.5
"164","C3","H",26,"Control","Unstudied","Or",1,-1,-1,0.5
"165","C3","H",26,"Control","Studied","Pantoufle",4,1,-1,0.5
"166","C3","H",26,"Control","Studied","Pied",4,1,-1,0.5
"167","C3","H",26,"Control","Lure","Porte",1,0,2,0.5
"168","C3","H",26,"Control","Studied","Prêtre",4,1,-1,0.5
"169","C3","H",26,"Control","Studied","Reine",1,1,-1,0.5
"170","C3","H",26,"Control","Unstudied","Salaire",1,-1,-1,0.5
"171","C3","H",26,"Control","Unstudied","Savon",1,-1,-1,0.5
"172","C3","H",26,"Control","Studied","Semelle",3,1,-1,0.5
"173","C3","H",26,"Control","Studied","Seuil",4,1,-1,0.5
"174","C3","H",26,"Control","Studied","Ski",4,1,-1,0.5
"175","C3","H",26,"Control","Unstudied","Soldat",1,-1,-1,0.5
"176","C3","H",26,"Control","Unstudied","Train",1,-1,-1,0.5
"177","C3","H",26,"Control","Studied","Tricot",4,1,-1,0.5
"178","C3","H",26,"Control","Lure","Vin",4,0,2,0.5
"179","C3","H",26,"Control","Lure","Voiture",4,0,2,0.5
"180","C3","H",26,"Control","Unstudied","Wagon",1,-1,-1,0.5
"181","C4","F",18,"Control","Lure","Abeille",1,0,2,0.5
"182","C4","F",18,"Control","Studied","Accident",4,1,-1,0.5
"183","C4","F",18,"Control","Studied","Alcool",4,1,-1,0.5
